ID,Framing,Age,Gender,Grade,Objective,Score
233,Negative,35to44,Male,UG,H,95
234,Negative,25to34,Female,UG,M,65
235,Negative,25to34,Female,UG,M,48
236,Negative,35to44,Male,PG,M,38
237,Negative,18to24,Male,HS,M,44
238,Negative,35to44,Male,HS,M,50
239,Neutral,18to24,other,UG,M,60
240,Neutral,25to34,Female,UG,M,47
241,Neutral,18to24,Male,UG,M,50
242,Neutral,18to24,Male,UG,L,33
243,Neutral,25to34,Female,UG,L,NA
244,Neutral,18to24,Male,UG,H,75
245,Neutral,25to34,other,UG,H,100
246,Neutral,18to24,Male,UG,M,60
247,Neutral,35to44,Male,UG,M,48
248,Neutral,18to24,Female,UG,M,51
249,Neutral,25to34,Female,UG,M,50
250,Neutral,18to24,Female,PG,H,90
251,Neutral,18to24,Male,UG,H,85
252,Neutral,25to34,Male,HS,H,81
253,Neutral,35to44,Female,UG,L,0
254,Neutral,45to54,Female,UG,M,38
255,Neutral,35to44,Male,UG,H,100
256,Neutral,35to44,Female,UG,H,78
257,Neutral,35to44,Female,UG,L,7
258,Neutral,35to44,Male,UG,H,100
259,Neutral,25to34,Female,UG,H,90
260,Neutral,25to34,Male,PG,M,35
261,Neutral,18to24,Female,UG,M,53
262,Neutral,25to34,Female,UG,M,50
263,Neutral,18to24,Male,UG,M,34
